caseType,trackFolder,trackPath,sourceTitle,sourceArtist,indexRaw,difficulty,resourceRelation,catalogResourceIds,evidence,confidence
introduction-system-or-tutorial-candidate,Introduction,Assets/Tracks/Introduction/,Introduction,,,EZ,01a00093-46f9-765b-870b-55fbb8056f49,,"Assets/Tracks/Introduction has music, Chart_EZ, Illustration/Blur/LowRes; path has no title.artist.index suffix; avatar.Introduction and LevelMod/Introduction keys also exist",high
random-family-member,Random.SobremSilentroom.0,Assets/Tracks/Random.SobremSilentroom.0/,Random,SobremSilentroom,0,EZ;HD;IN,01a00093-77e2-7631-bbce-f4db79c3fab6,,"Random.SobremSilentroom.0..6 share title/artist and fixed music/chart family; only .0 has primary Illustration; suffix is treated as family member index, not a promoted global ID",high
random-family-member,Random.SobremSilentroom.1,Assets/Tracks/Random.SobremSilentroom.1/,Random,SobremSilentroom,1,EZ;HD;IN,,,"Random.SobremSilentroom.0..6 share title/artist and fixed music/chart family; only .0 has primary Illustration; suffix is treated as family member index, not a promoted global ID",high
random-family-member,Random.SobremSilentroom.2,Assets/Tracks/Random.SobremSilentroom.2/,Random,SobremSilentroom,2,EZ;HD;IN,,,"Random.SobremSilentroom.0..6 share title/artist and fixed music/chart family; only .0 has primary Illustration; suffix is treated as family member index, not a promoted global ID",high
random-family-member,Random.SobremSilentroom.3,Assets/Tracks/Random.SobremSilentroom.3/,Random,SobremSilentroom,3,EZ;HD;IN,,,"Random.SobremSilentroom.0..6 share title/artist and fixed music/chart family; only .0 has primary Illustration; suffix is treated as family member index, not a promoted global ID",high
random-family-member,Random.SobremSilentroom.4,Assets/Tracks/Random.SobremSilentroom.4/,Random,SobremSilentroom,4,EZ;HD;IN,,,"Random.SobremSilentroom.0..6 share title/artist and fixed music/chart family; only .0 has primary Illustration; suffix is treated as family member index, not a promoted global ID",high
random-family-member,Random.SobremSilentroom.5,Assets/Tracks/Random.SobremSilentroom.5/,Random,SobremSilentroom,5,EZ;HD;IN,,,"Random.SobremSilentroom.0..6 share title/artist and fixed music/chart family; only .0 has primary Illustration; suffix is treated as family member index, not a promoted global ID",high
random-family-member,Random.SobremSilentroom.6,Assets/Tracks/Random.SobremSilentroom.6/,Random,SobremSilentroom,6,EZ;HD;IN,,,"Random.SobremSilentroom.0..6 share title/artist and fixed music/chart family; only .0 has primary Illustration; suffix is treated as family member index, not a promoted global ID",high
error-chart-variant,望影の方舟Six.SeURa.0,Assets/Tracks/望影の方舟Six.SeURa.0/,望影の方舟Six,SeURa,0,IN,,,Chart_IN_Error is a separate TextAsset at 0539562496d4f4a4a8f760328a1b8d9c;Assets/Tracks/望影の方舟Six.SeURa.0/Chart_IN_Error.json; ordinary IN existence is not replaced by this error variant,confirmed
error-chart-variant,望影の方舟Six.SeURa.0,Assets/Tracks/望影の方舟Six.SeURa.0/,望影の方舟Six,SeURa,0,EZ,,,Chart_EZ_Error is a separate TextAsset at 1c6d7fd652b48444081df1e124ebbc61;Assets/Tracks/望影の方舟Six.SeURa.0/Chart_EZ_Error.json; ordinary EZ existence is not replaced by this error variant,confirmed
error-chart-variant,望影の方舟Six.SeURa.0,Assets/Tracks/望影の方舟Six.SeURa.0/,望影の方舟Six,SeURa,0,HD,,,Chart_HD_Error is a separate TextAsset at 21b19a6d5f9331d4c9a26f3e1c41e529;Assets/Tracks/望影の方舟Six.SeURa.0/Chart_HD_Error.json; ordinary HD existence is not replaced by this error variant,confirmed
legacy-chart,Aleph0.LeaF.0,Assets/Tracks/Aleph0.LeaF.0/,Aleph0,LeaF,0,Legacy,01a00092-d665-7670-902d-a6d8439da073,,Chart_Legacy.json exists as a separate structural chart resource; this audit does not promote Legacy to an ordinary permanent difficulty,confirmed
legacy-chart,BreakThroughTheBarrier.lixound.0,Assets/Tracks/BreakThroughTheBarrier.lixound.0/,BreakThroughTheBarrier,lixound,0,Legacy,01a00092-f19a-7682-b6a4-e0c98fbb2987,,Chart_Legacy.json exists as a separate structural chart resource; this audit does not promote Legacy to an ordinary permanent difficulty,confirmed
legacy-chart,ENERGYSYNERGYMATRIX.Tanchiky.0,Assets/Tracks/ENERGYSYNERGYMATRIX.Tanchiky.0/,ENERGYSYNERGYMATRIX,Tanchiky,0,Legacy,01a00093-2270-7953-ab37-e601c0405258,,Chart_Legacy.json exists as a separate structural chart resource; this audit does not promote Legacy to an ordinary permanent difficulty,confirmed
legacy-chart,Lyrith迷宮リリス.ユメミド.0,Assets/Tracks/Lyrith迷宮リリス.ユメミド.0/,Lyrith迷宮リリス,ユメミド,0,Legacy,01a00093-5772-76a1-acdc-a0a6c35dece8,,Chart_Legacy.json exists as a separate structural chart resource; this audit does not promote Legacy to an ordinary permanent difficulty,confirmed
